id,degree,medium,gender,white_noise_s,time_test_complete,test_score_percet,spacial_factor,start_hz,start_difference_hz,end_hz,end_difference_hz,correct_intervals
101,U,V,M,10,66,20,86,272.983,25.899,332.881,21.394,3
102,U,I,F,1,176,20,196,351.454,104.37,474.861,163.374,0
103,U,I,F,5,73,40,113,289.288,42.204,327.162,15.675,1
201,U,I,M,10,53,30,83,244.105,-2.979,297.249,-14.238,1
202,U,I,M,1,84,30,114,219.366,-27.718,248.516,-62.971,1
203,U,I,M,5,117,20,137,264.208,17.124,265.431,-46.056,2
301,U,I,M,5,51,60,111,241.3015,-5.7825,287.123,-24.364,0
302,U,I,F,1,65,40,105,244.105,-2.979,313.834,2.347,0
303,U,V,F,10,41,50,91,244.9525,-2.1315,317.298,5.811,3
401,U,V,F,5,61,20,81,243.401,-3.683,244.105,-67.382,2
402,U,I,F,1,113,20,133,244.67,-2.414,308.978,-2.509,2
403,U,I,M,10,63,20,83,236.063,-11.021,308.265,-3.222,2
501,G,I,F,10,88,30,118,234.839,-12.245,297.936,-13.551,1
502,U,V,F,5,74,40,114,266.045,18.961,324.902,13.415,2
503,U,I,M,1,98,40,138,236.883,-10.201,265.892,-45.595,1
601,U,V,F,5,112,20,132,251.258,4.174,327.162,15.675,3
602,G,V,M,10,93,10,103,249.811,2.727,307.731,-3.756,3
603,G,V,F,1,46,30,76,233.621,-13.463,312.749,1.262,3
701,G,V,F,5,134,20,154,246.514,-0.57,311.847,0.36,3
702,U,I,M,1,51,30,81,258.92,11.836,280.242,-31.245,1
703,G,V,M,10,78,30,108,244.246,-2.838,309.514,-1.973,3
801,G,I,M,5,56,30,86,256.242,9.158,323.591,12.104,1
802,U,V,F,1,67,40,107,260.721,13.637,337.333,25.846,1
803,G,V,F,10,56,0,56,220.255,-26.829,314.56,3.073,2
901,U,V,F,5,102,20,122,243.401,-3.683,278.145,-33.342,1
902,G,V,M,1,68,40,108,236.609,-10.475,316.748,5.261,1
903,U,V,M,10,60,10,70,244.67,-2.414,295.025,-16.462,3
1001,U,V,F,10,81,40,121,236.746,-10.338,297.764,-13.723,3
1002,U,V,F,1,101,10,111,249.6665,2.5825,318.032,6.545,1
1003,U,I,M,5,61,40,101,250.968,3.884,323.031,11.544,2